Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,China,1/11/2020  22:00:00 AM,41,1,2
Hubei,China,1/12/2020  22:00:00 AM,41,1,6
Hubei,China,1/13/2020  22:00:00 AM,41,1,7
Hubei,China,1/14/2020  22:00:00 AM,41,1,7
Hubei,China,1/15/2020  22:00:00 AM,41,1,7
Hubei,China,1/16/2020  22:00:00 PM,41,2,12
Hubei,China,1/17/2020  22:00:00 PM,45,2,15
Hubei,China,1/18/2020  22:00:00 PM,62,2,19
Hubei,China,1/19/2020  22:00:00 PM,121,3,24
Hubei,China,1/20/2020  22:00:00 PM,198,3,25
Hubei,China,1/21/2020  22:00:00 PM,270,3,27
Shanghai,China,1/21/2020  22:00:00 PM,2,0,0
Beijing,China,1/21/2020  22:00:00 PM,5,0,0
guangdong,China,1/21/2020  22:00:00 PM,14,0,0
Thailand,Thailand,1/17/2020  22:00:00 PM,1,0,0
Japan,Japan,1/17/2020  22:00:00 PM,1,0,1
China,China,1/17/2020,45,3,15
Thailand,Thailand,1/18/2020  22:00:00 PM,1,0,0
Japan,Japan,1/18/2020  22:00:00 PM,1,0,1
China,China,1/18/2020,62,3,19
Thailand,Thailand,1/19/2020  22:00:00 PM,1,0,0
Japan,Japan,1/19/2020  22:00:00 PM,1,0,1
China,China,1/19/2020,121,3,24
Thailand,Thailand,1/20/2020  22:00:00 PM,1,0,0
Japan,Japan,1/20/2020  22:00:00 PM,1,0,1
China,China,1/20/2020,198,3,25
Thailand,Thailand,1/21/2020  22:00:00 PM,2,0,0
Japan,Japan,1/21/2020  22:00:00 PM,1,0,1
South Korea,South Korea,1/21/2020  22:00:00 PM,1,0,1
China,China ,1/21/2020  22:00:00 PM,291,3,27
