,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
0,Hubei,China,1/11/2020  22:00:00 AM,41.0,1.0,2.0
1,Hubei,China,1/12/2020  22:00:00 AM,41.0,1.0,6.0
2,Hubei,China,1/13/2020  22:00:00 AM,41.0,1.0,7.0
3,Hubei,China,1/14/2020  22:00:00 AM,41.0,1.0,7.0
4,Hubei,China,1/15/2020  22:00:00 AM,41.0,1.0,7.0
5,Hubei,China,1/16/2020  22:00:00 PM,41.0,2.0,12.0
6,Hubei,China,1/17/2020  22:00:00 PM,45.0,2.0,15.0
7,Hubei,China,1/18/2020  22:00:00 PM,62.0,2.0,19.0
8,Hubei,China,1/198/2020  22:00:00 PM,121.0,3.0,24.0
9,Hubei,China,1/20/2020  22:00:00 PM,198.0,3.0,25.0
10,Hubei,China,1/21/2020  22:00:00 PM,270.0,3.0,27.0
11,Shanghai,China,1/21/2020  22:00:00 PM,2.0,0.0,0.0
12,Beijing,China,1/21/2020  22:00:00 PM,5.0,0.0,0.0
13,guangdong,,1/21/2020  22:00:00 PM,14.0,0.0,0.0
14,,,,,,
15,,,,,,
16,,Thanland,1/17/2020  22:00:00 PM,1.0,0.0,0.0
17,,Japan,1/17/2020  22:00:00 PM,1.0,0.0,1.0
18,,Thanland,1/21/2020  22:00:00 PM,2.0,0.0,0.0
19,,Japan,1/21/2020  22:00:00 PM,1.0,0.0,1.0
20,,korean,1/21/2020  22:00:00 PM,1.0,0.0,1.0
21,,China ,1/21/2020  22:00:00 PM,291.0,3.0,27.0
