Country_Region,Confirmed,Deaths,Last_Update,Latitude,Longitude,Province_State,Recovered
China,1.0,0.0,1/22/2020 17:00,30.6007,117.9249,Anhui,0.0
China,14.0,0.0,1/22/2020 17:00,40.2374,116.2305,Beijing,0.0
China,6.0,0.0,1/22/2020 17:00,29.4316,106.9123,Chongqing,0.0
China,1.0,0.0,1/22/2020 17:00,26.4837,117.9249,Fujian,0.0
China,0.0,0.0,1/22/2020 17:00,35.7518,104.2861,Gansu,0.0
China,26.0,0.0,1/22/2020 17:00,23.379,113.7633,Guangdong,0.0
China,2.0,0.0,1/22/2020 17:00,23.7248,108.8076,Guangxi,0.0
China,1.0,0.0,1/22/2020 17:00,26.843000000000004,107.2903,Guizhou,0.0
China,4.0,0.0,1/22/2020 17:00,19.5664,109.9497,Hainan,0.0
China,1.0,0.0,1/22/2020 17:00,37.8957,114.9042,Hebei,0.0
China,0.0,0.0,1/22/2020 17:00,47.1216,128.7382,Heilongjiang,0.0
China,5.0,0.0,1/22/2020 17:00,34.2904,113.3824,Henan,0.0
China,444.0,17.0,1/22/2020 17:00,30.7378,112.2384,Hubei,28.0
China,4.0,0.0,1/22/2020 17:00,27.6253,111.8569,Hunan,0.0
China,0.0,0.0,1/22/2020 17:00,43.3782,115.0595,Inner Mongolia,0.0
China,1.0,0.0,1/22/2020 17:00,33.1402,119.7889,Jiangsu,0.0
China,2.0,0.0,1/22/2020 17:00,27.0875,114.9042,Jiangxi,0.0
China,0.0,0.0,1/22/2020 17:00,43.152,126.4371,Jilin,0.0
China,2.0,0.0,1/22/2020 17:00,41.9437,122.529,Liaoning,0.0
China,1.0,0.0,1/22/2020 17:00,,,Ningxia,0.0
China,0.0,0.0,1/22/2020 17:00,35.7448,96.4077,Qinghai,0.0
China,0.0,0.0,1/22/2020 17:00,35.394,109.188,Shaanxi,0.0
China,2.0,0.0,1/22/2020 17:00,,,Shandong,0.0
China,9.0,0.0,1/22/2020 17:00,31.2192,121.4456,Shanghai,0.0
China,1.0,0.0,1/22/2020 17:00,,,Shanxi,0.0
China,5.0,0.0,1/22/2020 17:00,30.2638,102.8055,Sichuan,0.0
China,4.0,0.0,1/22/2020 17:00,39.3434,117.3616,Tianjin,0.0
China,0.0,0.0,1/22/2020 17:00,30.1534,88.7879,Tibet,0.0
China,0.0,0.0,1/22/2020 17:00,,,Xinjiang,0.0
China,1.0,0.0,1/22/2020 17:00,24.4753,101.3431,Yunnan,0.0
China,10.0,0.0,1/22/2020 17:00,29.1416,119.7889,Zhejiang,0.0
China,9.0,0.0,1/23/20 17:00,30.6007,117.9249,Anhui,0.0
China,22.0,0.0,1/23/20 17:00,40.2374,116.2305,Beijing,0.0
China,9.0,0.0,1/23/20 17:00,29.4316,106.9123,Chongqing,0.0
China,5.0,0.0,1/23/20 17:00,26.4837,117.9249,Fujian,0.0
China,2.0,0.0,1/23/20 17:00,35.7518,104.2861,Gansu,0.0
