Province/State,Latitude,Longitude
Hubei,30.9756,112.2707
Guangdong,23.3417,113.4244
Henan,33.882,113.61399999999999
Zhejiang,29.1832,120.0934
Hunan,27.6104,111.7088
Anhui,31.8257,117.2264
Jiangxi,27.614,115.7221
Shandong,36.3427,118.1498
Diamond Princess cruise ship,35.4437,139.638
Jiangsu,32.9711,119.455
Chongqing,30.0572,107.874
Sichuan,30.6171,102.7103
Heilongjiang,47.861999999999995,127.7615
Beijing,40.1824,116.4142
Shanghai,31.201999999999998,121.4491
Hebei,38.0428,114.5149
Fujian,26.0789,117.9874
Guangxi,23.8298,108.7881
Shaanxi,35.1917,108.8701
Yunnan,24.974,101.48700000000001
Hainan,19.1959,109.7453
Guizhou,26.8154,106.8748
Tianjin,39.3054,117.323
Shanxi,37.5777,112.2922
Liaoning,41.2956,122.6085
Hong Kong,22.3,114.2
Jilin,43.6661,126.1923
Gansu,36.0611,103.8343
Xinjiang,41.1129,85.2401
Inner Mongolia,44.0935,113.9448
Ningxia,37.2692,106.1655
Unassigned Location (From Diamond Princess),35.4437,139.638
Taiwan,23.7,121.0
Qinghai,35.7452,95.9956
"Toronto, ON",43.6532,-79.3832
Macau,22.1667,113.55
Queensland,-28.0167,153.4
"Seattle, WA",47.6062,-122.3321
British Columbia,49.2827,-123.1207
Victoria,-37.8136,144.9631
New South Wales,-33.8688,151.2093
South Australia,-34.9285,138.6007
"Chicago, IL",41.8781,-87.6298
"Santa Clara, CA",37.3541,-121.9552
Western Australia,-31.9505,115.8605
"Sacramento County, CA",38.4747,-121.3542
"San Benito, CA",36.5761,-120.9876
"San Diego County, CA",32.7157,-117.1611
"Snohomish County, WA",48.033,-121.8339
" Montreal, QC",45.5017,-73.5673
"London, ON",42.9849,-81.2453
Tibet,31.6927,88.0924
"Boston, MA",42.3601,-71.0589
"Humboldt County, CA",40.745,-123.8695
"Los Angeles, CA",34.0522,-118.2437
"Madison, WI",43.0731,-89.4012
"Orange, CA",33.7879,-117.8531
"Portland, OR",45.5051,-122.675
"Providence, RI",41.824,-71.4128
"San Antonio, TX",29.4241,-98.4936
"Tempe, AZ",33.4255,-111.94
From Diamond Princess,35.4437,139.638
"Lackland, TX (From Diamond Princess)",29.3829,-98.6134
"Omaha, NE (From Diamond Princess)",41.2545,-95.9758
"Travis, CA (From Diamond Princess)",38.2721,-121.9399
